SrcSvcName,SrcSvcVerb,DestSvcName,DestSvcVerb,GameId,ReqTime
initiator,StartGame,worldGen,GenerateWorld,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,225608
initiator,StartGame,gameEngine,EngineStartGame,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,1495
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,245989
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,159686
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,171190
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,305834
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,154027
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,475497
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,299025
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,501832
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,318830
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,268295
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,293456
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,304193
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,511950
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,221418
GameEngine,/gameEngine/GameSession,music,PlayMusic,aeb4b6e7-c65b-43d9-aae7-f9618f4d4941,222089
